Id;Date;Country;Description First;Quantity First;Price First;Total Price First;Description Second;Quantity Second;Price Second;Total Price Second
13085;2009-12-01 07:45:00;United Kingdom;RECORD FRAME 7inch SINGLE SIZE ;48;2.1;100.80000000000001;15CM CHRISTMAS GLASS BALL 20 LIGHTS;12.0;6.95;83.4
13085;2009-12-01 07:46:00;United Kingdom;DOG BOWL - CHASING BALL DESIGN;12;3.75;45.0;HEART MEASURING SPOONS LARGE;24.0;1.65;39.599999999999994
13078;2009-12-01 09:06:00;United Kingdom;SCOTTIE DOG HOT WATER BOTTLE;24;4.25;102.0;LOVE BUILDING BLOCK WORD;18.0;5.45;98.10000000000001
15362;2009-12-01 09:08:00;United Kingdom;WOODEN BOX ADVENT CALENDAR ;2;8.95;17.9;FELTCRAFT DOLL EMILY;6.0;2.95;17.700000000000003
18102;2009-12-01 09:24:00;United Kingdom;CHARLIE AND LOLA FIGURES TINS;60;6.4;384.0;CHARLIE + LOLA BISCUITS TINS;60.0;6.38;382.8
12682;2009-12-01 09:28:00;France;POSTAGE;3;18.0;54.0;RETRO SPOT TEA SET CERAMIC 11 PC ;9.0;4.95;44.550000000000004
18087;2009-12-01 09:43:00;United Kingdom;DOG BOWL - CHASING BALL DESIGN;8;3.75;30.0;CAT BOWL ;8.0;2.55;20.4
18087;2009-12-01 09:44:00;United Kingdom;SCOTTIE DOG HOT WATER BOTTLE;48;4.25;204.0;RED WOOLLY HOTTIE WHITE HEART.;36.0;2.95;106.2
13635;2009-12-01 09:46:00;United Kingdom;KINGS CHOICE CIGAR BOX MATCHES ;48;1.25;60.0;KINGS CHOICE SMALL TUBE MATCHES;20.0;1.65;33.0
14110;2009-12-01 09:50:00;United Kingdom;RECORD FRAME 7inch SINGLE SIZE ;48;2.1;100.80000000000001;VINYL RECORD FRAME SILVER;24.0;3.39;81.36
12636;2009-12-01 09:55:00;USA;POSTAGE;1;141.0;141.0;;;;
